Number,Speed (cm/min),Wire Speed (cm/min),Cleaning (%),Gap (mm),Current (V),Front Height (mm),Front Width (mm),Back Height (mm),Back Width (mm)
1,24,1.5,30,2.4,80,-0.149,6.09,0.672,5.664
2,24,1.5,30,3.2,80,0.027,6.411,0.412,5.197
3,24,1.5,70,2.4,80,-0.179,7.432,0.593,7.058
4,24,1.5,70,3.2,80,-0.306,7.287,0.63,6.895
5,24,2.5,30,2.4,80,0.155,6.676,0.743,5.96
6,24,2.5,30,3.2,80,0.099,6.824,0.803,5.732
7,24,2.5,70,2.4,80,-0.129,7.009,0.878,6.989
8,24,2.5,70,3.2,80,-0.077,7.46,0.82,7.809
9,24,1.5,30,2.4,95,-0.017,8.664,0.437,8.75
10,24,1.5,30,3.2,95,-0.25,8.782,0.593,9.993
11,24,1.5,70,2.4,95,-0.553,9.757,0.852,9.993
12,24,1.5,70,3.2,95,-0.42,10.374,0.736,10.687
13,24,2.5,30,2.4,95,-0.345,9.783,0.965,10.237
14,24,2.5,30,3.2,95,-0.043,8.803,0.654,9.076
15,24,2.5,70,2.4,95,-0.134,9.75,0.798,9.465
16,24,2.5,70,3.2,95,-0.168,10.348,0.708,10.193
17,24,1.5,30,2.4,110,-0.599,11.348,0.805,11.679
18,24,1.5,30,3.2,110,-0.745,11.491,1.1,11.848
19,24,1.5,70,2.4,110,-0.254,11.237,0.47,12
20,24,1.5,70,3.2,110,-0.683,12.946,0.945,13.921
21,24,2.5,30,2.4,110,-0.232,9.338,0.866,10.611
22,24,2.5,30,3.2,110,-0.557,12.348,1.139,12.403
23,24,2.5,70,2.4,110,-0.623,11.767,1.128,12.86
24,24,2.5,70,3.2,110,-0.617,12.533,1.084,13.346
25,35,1.5,30,2.4,80,0.123,5.355,0.245,4.104
26,35,1.5,30,3.2,80,0.108,5.173,0.34,3.418
27,35,1.5,70,2.4,80,-0.044,5.833,0.51,4.875
28,35,1.5,70,3.2,80,-0.09,5.831,0.502,5.082
29,35,2.5,30,2.4,80,0.251,5.656,0.557,4.37
30,35,2.5,30,3.2,80,0.23,5.562,0.593,3.948
31,35,2.5,70,2.4,80,0.18,5.711,0.45,5.085
32,35,2.5,70,3.2,80,0.12,5.85,0.626,4.989
33,35,1.5,30,2.4,95,-0.213,6.348,0.458,5.874
34,35,1.5,30,3.2,95,-0.19,6.992,0.447,6.74
35,35,1.5,70,2.4,95,-0.152,7.163,0.464,6.994
36,35,1.5,70,3.2,95,-0.213,7.25,0.504,7.019
37,35,2.5,30,2.4,95,-0.164,7.288,0.715,6.724
38,35,2.5,30,3.2,95,-0.113,6.966,0.746,6.433
39,35,2.5,70,2.4,95,-0.107,7.055,0.696,7.24
40,35,2.5,70,3.2,95,-0.018,7.549,0.591,7.166
41,35,1.5,30,2.4,110,-0.575,8.337,0.766,8.763
42,35,1.5,30,3.2,110,-0.267,8.605,0.506,8.58
43,35,1.5,70,2.4,110,-0.385,9.109,0.672,9.652
44,35,1.5,70,3.2,110,-0.564,9.67,0.743,9.952
45,35,2.5,30,2.4,110,-0.556,8.756,1.011,8.853
46,35,2.5,30,3.2,110,-0.188,9.442,0.666,9.614
47,35,2.5,70,2.4,110,-0.309,9.015,0.784,9.041
48,35,2.5,70,3.2,110,-0.318,9.297,0.785,9.47
49,46,1.5,30,2.4,80,0.357,4.982,0.001,2.255
50,46,1.5,30,3.2,80,0.168,4.898,0.277,2.998
51,46,1.5,70,2.4,80,0.088,5.02,0.281,3.302
52,46,1.5,70,3.2,80,0.09,4.423,0.42,3.172
53,46,2.5,30,2.4,80,0.39,4.78,0.062,1.33
54,46,2.5,30,3.2,80,0.487,4.992,0.139,1.6
55,46,2.5,70,2.4,80,0.38,5.231,0.397,2.817
56,46,2.5,70,3.2,80,0.394,5.337,0.378,3.041
57,46,1.5,30,2.4,95,-0.321,5.847,0.44,5.332
58,46,1.5,30,3.2,95,-0.152,5.704,0.386,5.35
59,46,1.5,70,2.4,95,-0.155,5.967,0.445,5.415
60,46,1.5,70,3.2,95,-0.09,5.892,0.399,5.319
61,46,2.5,30,2.4,95,-0.236,5.984,0.696,5.531
62,46,2.5,30,3.2,95,0.067,6.03,0.575,5.636
63,46,2.5,70,2.4,95,-0.075,5.562,0.816,4.835
64,46,2.5,70,3.2,95,0.138,6.546,0.575,6.285
65,46,1.5,30,2.4,110,-0.217,6.092,0.359,6.419
66,46,1.5,30,3.2,110,-0.339,7.335,0.619,7.52
67,46,1.5,70,2.4,110,-0.249,7.719,0.492,7.706
68,46,1.5,70,3.2,110,-0.396,7.633,0.458,7.601
69,46,2.5,30,2.4,110,-0.01,6.396,0.536,6.197
70,46,2.5,30,3.2,110,0.074,6.863,0.484,6.072
71,46,2.5,70,2.4,110,-0.201,7.052,0.658,7.48
72,46,2.5,70,3.2,110,-0.358,7.759,0.798,7.917
,,,,,,,,,
